result,queue,major,minor
HIT,LLJO,LLJO,ITZ
HIT,LLJO,LLJO,IJT
HIT,LLJO,LLJO,IJL
HIT,LLJO,LLJO,IJO
HIT,LLJO,LLJO,IJS
HIT,LLJO,LLJO,IJZ
HIT,LLJO,LLJO,ILT
HIT,LLJO,LLJO,ILJ
HIT,LLJO,LLJO,ILO
HIT,LLJO,LLJO,ILS
HIT,LLJO,LLJO,ILZ
HIT,LLJO,LLJO,IOT
HIT,LLJO,LLJO,IOJ
HIT,LLJO,LLJO,IOL
HIT,LLJO,LLJO,IOS
HIT,LLJO,LLJO,IOZ
HIT,LLJO,LLJO,IST
HIT,LLJO,LLJO,ISJ
HIT,LLJO,LLJO,ISL
HIT,LLJO,LLJO,ISO
HIT,LLJO,LLJO,ISZ
HIT,LLJO,LLJO,IZT
HIT,LLJO,LLJO,IZJ
HIT,LLJO,LLJO,IZL
HIT,LLJO,LLJO,IZO
HIT,LLJO,LLJO,IZS
HIT,LLJO,LLJO,JTI
HIT,LLJO,LLJO,JTL
HIT,LLJO,LLJO,JTO
HIT,LLJO,LLJO,JTS
HIT,LLJO,LLJO,JTZ
HIT,LLJO,LLJO,JIT
HIT,LLJO,LLJO,JIL
HIT,LLJO,LLJO,JIO
HIT,LLJO,LLJO,JIS
HIT,LLJO,LLJO,JIZ
HIT,LLJO,LLJO,JLT
HIT,LLJO,LLJO,JLI
HIT,LLJO,LLJO,JLO
HIT,LLJO,LLJO,JLS
HIT,LLJO,LLJO,JLZ
HIT,LLJO,LLJO,JOT
HIT,LLJO,LLJO,JOI
HIT,LLJO,LLJO,JOL
HIT,LLJO,LLJO,JOS
HIT,LLJO,LLJO,JOZ
HIT,LLJO,LLJO,JST
HIT,LLJO,LLJO,JSI
HIT,LLJO,LLJO,JSL
HIT,LLJO,LLJO,JSO
HIT,LLJO,LLJO,JSZ
HIT,LLJO,LLJO,JZT
HIT,LLJO,LLJO,JZI
HIT,LLJO,LLJO,JZL
HIT,LLJO,LLJO,JZO
HIT,LLJO,LLJO,JZS
HIT,LLJO,LLJO,LTI
HIT,LLJO,LLJO,LTJ
HIT,LLJO,LLJO,LTO
HIT,LLJO,LLJO,LTS
HIT,LLJO,LLJO,LTZ
HIT,LLJO,LLJO,LIT
HIT,LLJO,LLJO,LIJ
